apoastre :  apoapside; apside supérieure
céleri :  ache des marais; ache odorante; ache puante; céleri d’Italie; persil des marais; persil odorant
croulière :  fondrière
en même temps que :  quand et quand
gazon :  pelouse; herbe; vert; sod; turf; grasmat; grasveld; perk
faire ripaille :  ripailler
antwoorden :  reageren; repliceren
也 :  である
sémiotique :  sémiologique; sémiologie; séméiotique; symptologie
exacte :  cert; correcte; precís; regular; veritable
conspiratrice :  conjurée; conspi
yard :  garden; courtyard
criquet :  acridien
bisannuel :  biennal
cuisse :  baise; braguette; cul; fesse
padre :  papá; estupendo
woedend :  boos; bloedlink; fulminant; furieus; razend
enfants :  enfans
appliquette :  applet; mini-application
middel :  taille; hulpmiddel; manier; procédé; weg; medicijn; remedie
tragen :  nehmen; halten; anhaben; trächtig; hervorbringen; ertragen; finanzieren
haschich :  cannabis; chichon; hash; matos; pot; shit; taga; tchernobyl; tcherno; teuch; zetla
coffee :  coffee bean; coffee tree
mœurs :  us
se déshabiller :  se défringuer; se déloquer; se désaper; se dévêtir
demi-vie :  période
bijou :  beauté; bijouterie; brillant; chef-d’œuvre; diamant; joyau; merveille; perfection; perle
amarante :  passe-velours
godillot :  brodequin; croquenot; godasse; grolle; pompe; savate; soulier; tatane
ёрш :  ёршик
clavardage :  causette; chat; tchat
numismatographie :  numismatique
composé en couronne :  composé couronne
intestine :  bowel; gut
chanter :  jodler; psalmodier; seriner; solfier; ténoriser; vocaliser
non-intervention :  non-interventionnisme
décalage du cadre de lecture :  mutation du cadre de lecture
cruellement :  affreusement; amèrement; brutalement; extrêmement; lourdement; méchamment; péniblement; rudement; tristement
-ba :  -buta; -dáya; -mata
malicieusement :  malignement
briquet :  feu
grave :  sérieux; lourd; pesant; tellement; carrément; c’est clair; serious; importante; importante
kilohertz :  kilocycle
accolement :  accolage
évanouissement :  syncope
hâtif :  à la va-vite; anticipé; avancé; bâclé; furtif; pressé; précipité; rapide; tôtif; vite
Nantes :  la cité des ducs
geheel :  totaliteit; volledig; algeheel; compleet; totaal; volkomen; heel
anachorète :  ermite; ascète
rund :  krets
bɔgɔlan :  bɔgɔlanfini
coiffeur :  coupe-tifs; figaro; merlan
stelen :  pikken; achteroverdrukken; gappen; jatten; kapen; ontvreemden; pakken; plunderen; roven; wegnemen; wegpakken
visiter :  faire une visite; rendre visite
impur :  bas; charnel; fangeux; indécent; libidineux; malpropre; mauvais; repoussant; souillé; trivial
sluitingstijd :  slutingsuur
woordgrapje :  woordspeling
tempérance :  modération; frugalité; sobriété; mesure
Zitrone :  Zitronenbaum
verbalement :  oralement
холм :  горка; гора; возвышение; пригорок
холл :  вестибюль; передняя
本 :  書; 図書; 書籍; 書物
trou du cul :  anus; rondelle; trou de balle; trou de cul; troufignard; troufignon; troufion; fion; con; trouduc; trou de cul; grand clodo; trouduc; président; TDC; trou de cul
我 :  俺; 咱; 私
laotien :  lao
appartement :  loyer; woonstel; lejlighed; flat
tissue :  facial tissue
sommige :  enige; enkele; ’n paar; party
pétrole :  or noir
après-midi :  aprèm; aprème; après-dîner; après-dînée; PM; P.M.; tantôt
hand :  hond
prijs :  koopsom; kosten; waarde; beloning; bekroning; onderscheiding
client :  partenaire; acheteur; maître d’ouvrage; patient
newton :  njutn; neutón; neutonio
groei :  oanwaaks; toename
postkantoor :  agter; bo; in; na; van
contamination radioactive :  contamination
bore :  drill; forehole
roulier :  navire cargo; ro-ro
Lexikon :  Glossar; Enzyklopädie
eerlijk :  openhartig; rechtdoorzee; betrouwbaar; open; oprecht; rechtschapen
