"Care Bears Nutcracker Suite"	0	"The Nutcracker and the Mouse King"
"Freeway"	1996	"Little Red Riding Hood"
"Nutcracker: The Motion Picture"	0	"The Nutcracker and the Mouse King"
"Nutcracker Fantasy"	0	"The Nutcracker and the Mouse King"
"Happily N'Ever After"	0	"Cinderella"
"The Nutcracker"	1973	"The Nutcracker and the Mouse King"
"The Nutcracker"	1993	"The Nutcracker and the Mouse King"
"The Nutcracker Prince"	0	"The Nutcracker and the Mouse King"
"The Nutcracker in 3D"	0	"The Nutcracker and the Mouse King"
"The Nuttiest Nutcracker"	0	"The Nutcracker and the Mouse King"
"The Wonderful World of the Brothers Grimm"	0	"Grimms' Fairy Tales"
"Tom and Jerry: A Nutcracker Tale"	0	"The Nutcracker and the Mouse King"
"Little from the Fish Shop"	0	"The Little Mermaid"
"Sinbad: Sora Tobu Hime to Himitsu no Shima"	0	"One Thousand and One Nights"
"Alibabavum 40 Thirudargalum"	1956	"One Thousand and One Nights"
"Hoodwinked!"	0	"Little Red Riding Hood"
"Hansel and Gretel: An Opera Fantasy"	0	"Hansel and Gretel"
"Hansel and Gretel"	1954	"Hansel and Gretel"
"Hansel and Gretel"	1954	"Hansel and Gretel"
"Hansel and Gretel"	2002	"Hansel and Gretel"
"The Scarlet Flower"	1952	"Beauty and the Beast"
"Sinbad: Beyond the Veil of Mists"	0	"One Thousand and One Nights"
"Red Riding Hood"	1989	"Little Red Riding Hood"
"Redux Riding Hood"	0	"Little Red Riding Hood"
"The Feather Fairy"	0	"Grimms' Fairy Tales"
"Das tapfere Schneiderlein"	0	"Grimms' Fairy Tales"
"Die goldene Gans"	0	"Grimms' Fairy Tales"
"RotkГ¤ppchen"	0	"Little Red Riding Hood"
"The Thief of Baghdad"	1961	"One Thousand and One Nights"
"Captain Sindbad"	0	"One Thousand and One Nights"
"CinderElmo"	0	"Cinderella"
"The Curse of Sleeping Beauty"	0	"Sleeping Beauty"
"The Conqueror of the Orient"	0	"One Thousand and One Nights"
"The Snow Queen 2: The Snow King"	0	"The Snow Queen"
"Sinbad and The Minotaur"	0	"One Thousand and One Nights"
