link	new_created	new_id	original_id	source	title	topic_created	topic_id	topic_last
https://112.ua/politika/savchenko-zayavila-chto-v-sizo-ee-vezde-snimayut-kamery-438645.html	1521795806	62059573		ukrnet	Савченко заявила, что в СИЗО ее везде снимают камеры	1521796106	34173550	1521796106
https://zik.ua/news/2018/03/23/meni_bayduzhe_chy_savchenko_povernetsya_u_parlament__lyashko_1291095	1521795805	62059582		ukrnet	Мені байдуже, чи Савченко повернеться у парламент, – Ляшко	1521796106	34173550	1521796106
http://iz.com.ua/ukraina/nadezhda-savchenko-v-kletke-sud-izbiraet-meru-presecheniya.html	1521795632	62059382		ukrnet	Надежда Савченко в клетке: суд избирает меру пресечения	1521796106	34173550	1521796106
https://censor.net.ua/news/3057339/ne_bylo_ni_odnogo_ugla_v_kamere_gde_by_menya_ne_snimali_videokamery_savchenko_o_nochi_v_sizo	1521795626	62059445		ukrnet	Не было ни одного угла в камере, где бы меня не снимали видеокамеры, - Савченко о ночи в СИЗО	1521796106	34173550	1521796106
https://zik.ua/news/2018/03/23/nevidomi_potroshchyly_ustatkuvannya_na_trenuvalniy_bazi_azovu__aktyvist_1291099	1521796106	62059757		ukrnet	Невідомі потрощили устаткування на тренувальній базі «Азову», – активіст	1521796106	34172962	1521796106
http://kievvlast.com.ua/news/politsiya-provodit-obyski-na-baze-natskorpusa-v-kieve	1521795865	62059613		ukrnet	Полиция проводит обыски на базе “Нацкорпуса” в Киеве	1521796106	34172962	1521796106
https://gazeta.ua/articles/life/_v-nackorpusi-prokomentuvali-vranishnij-obshuk/827714	1521795746	62059541		ukrnet	"В ""Нацкорпусі"" прокоментували вранішній обшук"	1521796106	34172962	1521796106
https://realist.online/news/v-kieve-na-zavod-atek-priehali-pravoohraniteli-ih-zablokirovali-nacionalisty	1521795625	62059449		ukrnet	В Киеве на завод «АТЕК» приехали правоохранители. Их заблокировали националисты	1521796106	34172962	1521796106
https://ru.slovoidilo.ua/2018/03/23/novost/obshhestvo/siloviki-obyskivayut-zavod-atek-kieve	1521795567	62059348		ukrnet	Силовики обыскивают завод АТЭК в Киеве	1521796106	34172962	1521796106
http://tyzhden.ua/News/211235	1521795327	62059200		ukrnet	У Києві правоохоронці прийшли з обшуками до бази Нацкорпусу	1521796106	34172962	1521796106
http://racurs.ua/ua/n102634-u-nackorpusi-zayavlyaut-pro-blokuvannya-ofisu-pravoohoroncyamy-video	1521795266	62059184		ukrnet	У Нацкорпусі заявляють про блокування офісу правоохоронцями (ВІДЕО)	1521796106	34172962	1521796106
https://www.ukrinform.ua/rubric-society/2427628-na-zavodi-atek-provodatsa-slidci-dii-policia.html	1521795147	62059115		ukrnet	На заводі АТЕК проводяться слідчі дії - поліція	1521796106	34172962	1521796106
https://informator.news/z-yavylysya-foto-yak-spetspryznachetsi-blokuyut-bazu-natsionalnoho-korpusu-u-kyjevi/	1521795088	62059078		ukrnet	"З’явилися фото, як спецпризначеці блокують базу “Національного корпусу” у Києві						(ФОТО)"	1521796106	34172962	1521796106
http://kiev.sq.com.ua/rus/news/novosti/23.03.2018/k_zavodu_na_svyatoshino_styagivayut_silovikov/	1521794965	62059013		ukrnet	К заводу на Святошино стягивают силовиков	1521796106	34172962	1521796106
http://tribun.com.ua/48493	1521794185	62058526		ukrnet	На этих выходных Украина переходит на летнее время	1521794185	34170606	1521794185
https://mariupol.tv/news/war/mariupol/22302/	1521792027	62057207		ukrnet	Боевики второй день соблюдают перемирие на Донбассе	1521792027	34170320	1521792027
http://novosti.dn.ua/news/280288-shtab-soobshhyl-ob-otsutstvyy-obstrelov-na-donbasse-za-mynuvshye-sutky	1521790227	62056233		ukrnet	Штаб сообщил об отсутствии обстрелов на Донбассе за минувшие сутки	1521792027	34170320	1521792027
https://www.rbc.ua/rus/news/sinoptiki-preduprezhdayut-podeme-urovnya-1521726339.html	1521726506	62041900		ukrnet	Синоптики предупреждают о подъеме уровня воды в реках Украины	1521726506	34163775	1521726506
http://gordonua.com/news/politics/savchenko-v-noyabre-2017-goda-pokupala-oruzhie-vmeste-s-rubanom-prokuratura-237984.html	1521798086	62061102		ukrnet	Савченко в ноябре 2017 года покупала оружие вместе с Рубаном – прокуратура	1521798086	34174674	1521798086
https://zik.ua/news/2018/03/23/sud_dozvolyv_savchenko_na_zasidanni_sydity_za_mezhamy_sklyanoi_kabiny_1291135	1521798025	62061061		ukrnet	Суд дозволив Савченко на засіданні сидіти за межами скляної кабіни	1521798086	34174674	1521798086
http://www.gogetnews.info/news/politics/175326-v-es-prokommentirovali-delo-savchenko.html	1521797486	62060690		ukrnet	В ЕС прокомментировали дело Савченко	1521798086	34174674	1521798086
https://www.segodnya.ua/politics/na-sude-savchenko-vypustili-iz-akvariuma-1124810.html	1521797366	62060564		ukrnet	"На суде Савченко выпустили из ""аквариума"""	1521798086	34174674	1521798086
http://www.mediastar.net.ua/69272-ne-day-bog-nformacya-po-savchenko-ne-bude-dokazana-bezsmertniy.html	1521797365	62060571		ukrnet	Не дай Бог, інформація по Савченко не буде доказана - Безсмертний	1521798086	34174674	1521798086
https://www.facenews.ua/articles/2018/320003/	1521797186	62060452		ukrnet	Суд над Надеждой Савченко: все подробности онлайн	1521798086	34174674	1521798086
http://vsviti.com.ua/news/82112	1521797125	62060435		ukrnet	Сестра Савченко: Надію використовували і хотіли вбити	1521798086	34174674	1521798086
http://hronika.info/politika/304874-sud-nachal-zasedanie-po-delu-nadezhdy-savchenko.html	1521797067	62060376		ukrnet	Суд начал заседание по делу Надежды Савченко	1521798086	34174674	1521798086
https://glavcom.ua/ru/news/savchenko-zayavila-chto-ne-pomnit-vseh-svoih-nagrad--483460.html	1521796887	62060274		ukrnet	Савченко заявила, что не помнит всех своих наград	1521798086	34174674	1521798086
http://vsviti.com.ua/news/82109	1521796765	62060193		ukrnet	У Раді Європи розповіли, навіщо Україна звільняла Савченко з полону	1521798086	34174674	1521798086
http://www.unn.com.ua/uk/news/1721651-stalo-vidomo-kudi-ukrayintsi-zmozhut-litati-na-ryanair	1521797667	62060791		ukrnet	Стало відомо, куди українці зможуть літати на Ryanair	1521797667	34174480	1521797667
